date,protocol,name,category,active_loans,revenue_ttm,revenue_annualized,earnings_ttm,earnings_annualized,active_loans_90d_ago,revenue_90d_ago,earnings_90d_ago
2026-08-29,equilibrium-lending,Equilibrium Lending,Lending,0,,,,,,,
2026-08-29,eralend,EraLend,Lending,18.82477234342428,,,,,347123,,
2026-08-29,etherfi-borrowing-market,EtherFi Borrowing Market,Lending,29582263.224195678,674138,674138,674138,674138,21310238,499290,499290
2026-08-29,ethichub,EthicHub,RWA Lending,1046473.4936714937,,,,,1046154,,
2026-08-29,euler-v1,Euler V1,Lending,0,,,,,0,,
2026-08-29,euler-v2,Euler V2,Lending,576151523.8738699,55676479,56924131.190476194,3295804,3369659.551820728,594760059,70153854,3960076
2026-08-29,evaa-protocol,EVAA Protocol,Lending,4785619.543956703,,,,,6010505,,
2026-08-29,everlend,Everlend,Lending,0,,,,,,,
2026-08-29,everything,Everything,Lending,510697.03659286984,,,,,206375,,
2026-08-29,evolve,Evolve,Lending,0,,,,,0,,
2026-08-29,evoq-finance,Evoq Finance,Lending,0,,,,,0,,
2026-08-29,exactly,Exactly,Lending,1457205.2803798218,,,,,523500,,
2026-08-29,extra-finance-xlend,Extra Finance Xlend,Lending,778361.3464320638,392674.15,392674.15,39161.38,39161.38,785488,428226,42717
2026-08-29,fathom-lending,Fathom Lending,Lending,223017.22491008462,,,,,54929,,
2026-08-29,fenrir-finance,Fenrir Finance,Lending,0,,,,,0,,
2026-08-29,figure-markets-democratized-prime,Figure Markets Democratized Prime,RWA Lending,575025939.4379944,,,,,342870977,,
2026-08-29,filda,FilDA,Lending,284120.7011365793,,,,,353878,,
2026-08-29,fira,Fira,Lending,437267452.9523781,254034.63,404902.357860262,0,0,422598258,380668.5507246377,0
2026-08-29,firoza-finance,Firoza Finance,Lending,0,,,,,0,,
2026-08-29,fisclend-finance,Fisclend Finance,Lending,0,,,,,0,,
2026-08-29,flamingo-lend,Flamingo Lend,Lending,0,,,,,,,
2026-08-29,flex,Flex,Lending,900972.2276019525,10531.1,36960.11057692308,105.92999999999999,371.77355769230763,802579,21422.69230769231,140.3846153846154
2026-08-29,floe-labs,Floe Labs,Lending,1.8997794162366068,,,,,58,,
2026-08-29,florence-finance,Florence Finance,RWA Lending,61971.28868136028,,,,,62222,,
2026-08-29,fluid-lending,Fluid Lending,Lending,844890981.0624042,54639898,54639898,7519777,7519777,808083331,58876911,7980175
2026-08-29,fluidtokens,FluidTokens,Lending,1299714.5481903849,31067.05,62649.02348066298,31067.05,62649.02348066298,1337249,66576,66576
2026-08-29,flux-finance,Flux Finance,Lending,34477901.35227598,1651906,1651906,0,0,34032892,1663504,0
2026-08-29,flux-protocol,Flux Protocol,Lending,0,,,,,0,,
2026-08-29,flying-tulip-lend,Flying Tulip Lend,Lending,4260972.4529522825,14643,40799.19847328244,32.95,203.84322033898306,710917,12948.375,0
2026-08-29,fmoney,fMoney,Lending,6007.944419175481,,,,,5378,,
2026-08-29,folks-finance-lending,Folks Finance Lending,Lending,11054024.205975108,4002,730365,542,98915,14645093,,
2026-08-29,folks-finance-xchain,Folks Finance xChain,Lending,1876384.2237085034,643211,643211,64341.08,64341.08,7300795,776361.6363636365,77641.47272727273
2026-08-29,forlend,forlend,Lending,26556.844645407204,,,,,26556,,
2026-08-29,fortress-loans,Fortress Loans,Lending,0,,,,,0,,
2026-08-29,fortube,ForTube,Lending,0,,,,,,,
2026-08-29,fountain-protocol,Fountain Protocol,Lending,0,,,,,0,,
2026-08-29,frakt,FRAKT,NFT Lending,0,,,,,0,,
2026-08-29,fraxlend,Fraxlend,Lending,6054463.517859288,962990.68,962990.68,85863.6,85863.6,7246107,1273040.6,104573.87000000002
2026-08-29,freeliquid,FreeLiquid,Lending,0,,,,,,,
2026-08-29,friendly-market,Friendly Market,Lending,83.85505109730435,,,,,88,,
2026-08-29,fringe-v1,Fringe V1,Lending,246.21749463804792,,,,,246,,
2026-08-29,fringe-v2,Fringe V2,Lending,9357.648420718968,,,,,9517,,
2026-08-29,fuji-v1,Fuji V1,Lending,0,,,,,,,
2026-08-29,fuji-v2,Fuji V2,Lending,261.4124540088674,,,,,259,,
2026-08-29,fungify,Fungify,Lending,401446.6532378504,,,,,317398,,
2026-08-29,fusefi-lending,Fusefi Lending,Lending,0,,,,,0,,
2026-08-29,gearbox,Gearbox,Lending,13023372.342757404,1182492,1182492,348530.06000000006,348530.06000000006,6915227,1905361,479199
2026-08-29,geist-finance,Geist Finance,Lending,0,,27655070.232371796,,13827537.748397436,0,,
2026-08-29,genshiro,Genshiro,Lending,0,,,,,,,
2026-08-29,ghost,Ghost,Lending,0,,,,,9073,,
2026-08-29,gloop,Gloop,Lending,0.010223947931481087,,,,,0,,
2026-08-29,glori-finance,Glori Finance,Lending,0,,,,,0,,
2026-08-29,glyph,Glyph,Lending,1948.0812331361217,,,,,974,,
2026-08-29,goldbank-finance,Goldbank Finance,Lending,0,,,,,0,,
2026-08-29,goldfinch,Goldfinch,RWA Lending,0,1572535.6199999994,1572535.6199999994,188439.61999999997,188439.61999999997,56141837,1566891,182795
2026-08-29,goledo,Goledo,Lending,0,,,,,0,,
2026-08-29,gondi-v1,Gondi V1,NFT Lending,0,,,,,,,
